# Gene panel: Mendel-v12 -- Date: 2022-01-31
#gene symbol	HGNC	remove (add x)	phenotype	inheritance	omim_number	pmid	inheritance info	comment
ABHD12	15868		Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract	AR	612674			
ABHD5	21396		Chanarin-Dorfman syndrome	AR	275630			
ABL1	76		Congenital heart defects and skeletal malformations syndrome	AD	617602			
ABL1	76		Leukemia, Philadelphia chromosome-positive, resistant to imatinib	SM	608232			
ACACA	84		Acetyl-CoA carboxylase deficiency	AR	613933			
ACAD8	87		Isobutyryl-CoA dehydrogenase deficiency	AR	611283			
ACAD9	21497		Mitochondrial complex I deficiency, nuclear type 20	AR	611126			
ACADM	89		Acyl-CoA dehydrogenase, medium chain, deficiency of	AR	201450			
ACADS	90		Acyl-CoA dehydrogenase, short-chain, deficiency of	AR	201470			
ACADSB	91		2-methylbutyrylglycinuria	AR	610006			
ACADVL	92		VLCAD deficiency	AR	201475			
ACAN	319		?Spondyloepiphyseal dysplasia, Kimberley type	AD	608361			
ACAN	319		Short stature and advanced bone age, with or without early-onset osteoarthritis and/or osteochondritis dissecans	AD	165800			
ACAN	319		Spondyloepimetaphyseal dysplasia, aggrecan type	AR	612813			
ACAT1	93		Alpha-methylacetoacetic aciduria	AR	203750			
ACAT2	94		?ACAT2 deficiency	IC	614055			
ACBD5	23338		Retinal dystrophy with leukodystrophy	AR	618863			
ACD	25070		?Dyskeratosis congenita, autosomal dominant 6	AD/AR	616553			
ACD	25070		?Dyskeratosis congenita, autosomal recessive 7	AD/AR	616553			
ACE	2707		Renal tubular dysgenesis	AR	267430			
ACE	2707		[Angiotensin I-converting enzyme, benign serum increase]					
ACE	2707		{Microvascular complications of diabetes 3}		612624			
ACE	2707		{Myocardial infarction, susceptibility to}					
ACE	2707		{SARS, progression of}					
ACE	2707		{Stroke, hemorrhagic}		614519			
ACER3	16066		?Leukodystrophy, progressive, early childhood-onset	AR	617762			
ACO2	118		?Optic atrophy 9	AR	616289			
ACO2	118		Infantile cerebellar-retinal degeneration	AR	614559			
ACOX1	119		Mitchell syndrome	AD	618960			
ACOX1	119		Peroxisomal acyl-CoA oxidase deficiency	AR	264470			
ACOX2	120		Bile acid synthesis defect, congenital, 6	AR	617308			
ACP4	14376		Amelogenesis imperfecta, type IJ	AR	617297			
ACP5	124		Spondyloenchondrodysplasia with immune dysregulation	AR	607944			
ACSF3	27288		Combined malonic and methylmalonic aciduria		614265			
ACSL4	3571		Intellectual developmental disorder, X-linked 63	XD	300387			
ACSL6	16496		Myelodysplastic syndrome					
ACSL6	16496		Myelogenous leukemia, acute					
ACTA1	129		?Myopathy, scapulohumeroperoneal	AD	616852			
ACTA1	129		Myopathy, actin, congenital, with cores	AD/AR	161800			
ACTA1	129		Myopathy, actin, congenital, with excess of thin myofilaments	AD/AR	161800			
ACTA1	129		Myopathy, congenital, with fiber-type disproportion 1	AD/AR	255310			
ACTA1	129		Nemaline myopathy 3, autosomal dominant or recessive	AD/AR	161800			
ACTA2	130		Aortic aneurysm, familial thoracic 6	AD	611788			
ACTA2	130		Moyamoya disease 5		614042			
ACTA2	130		Multisystemic smooth muscle dysfunction syndrome	AD	613834			
ACTB	132		?Dystonia, juvenile-onset	AD	607371			
ACTB	132		Baraitser-Winter syndrome 1	AD	243310			
ACTC1	143		Atrial septal defect 5	AD	612794			
ACTC1	143		Cardiomyopathy, dilated, 1R	AD	613424			
ACTC1	143		Cardiomyopathy, hypertrophic, 11	AD	612098			
ACTC1	143		Left ventricular noncompaction 4	AD	613424			
ACTG1	144		Baraitser-Winter syndrome 2	AD	614583			
ACTG1	144		Deafness, autosomal dominant 20/26	AD	604717			
ACTG2	145		Megacystis-microcolon-intestinal hypoperistalsis syndrome 5	AD	619431			
ACTG2	145		Visceral myopathy 1	AD	155310			
ACTL6B	160		Developmental and epileptic encephalopathy 76	AR	618468			
ACTL6B	160		Intellectual developmental disorder with severe speech and ambulation defects	AD	618470			
ACTN1	163		Bleeding disorder, platelet-type, 15	AD	615193			
ACTN2	164		Cardiomyopathy, dilated, 1AA, with or without LVNC	AD	612158			
ACTN2	164		Cardiomyopathy, hypertrophic, 23, with or without LVNC	AD	612158			
ACTN2	164		Myopathy, congenital with structured cores and Z-line abnormalities	AD	618654			
ACTN2	164		Myopathy, distal, 6, adult onset	AD	618655			
ACTN4	166		Glomerulosclerosis, focal segmental, 1	AD	603278			
ACVR1	171		Fibrodysplasia ossificans progressiva	AD	135100			
ACVR2B	174		Heterotaxy, visceral, 4, autosomal		613751			
ACVRL1	175		Telangiectasia, hereditary hemorrhagic, type 2	AD	600376			
ACY1	177		Aminoacylase 1 deficiency	AR	609924			
ADA	186		Adenosine deaminase deficiency, partial	AR	102700			
ADA	186		Severe combined immunodeficiency due to ADA deficiency	AR	102700			
ADA2	1839		Sneddon syndrome	AR	182410			
ADA2	1839		Vasculitis, autoinflammation, immunodeficiency, and hematologic defects syndrome	AR	615688			
ADAM10	188		Reticulate acropigmentation of Kitamura	AD	615537			
ADAM10	188		{Alzheimer disease 18, susceptibility to}		615590			
ADAM17	195		?Inflammatory skin and bowel disease, neonatal, 1	AR	614328			
ADAM9	216		Cone-rod dystrophy 9	AR	612775			
ADAMTS10	13201		Weill-Marchesani syndrome 1, recessive	AR	277600			
ADAMTS13	1366		Thrombotic thrombocytopenic purpura, hereditary	AR	274150			
ADAMTS17	17109		Weill-Marchesani 4 syndrome, recessive	AR	613195			
ADAMTS18	17110		Microcornea, myopic chorioretinal atrophy, and telecanthus	AR	615458			
ADAMTS2	218		Ehlers-Danlos syndrome, dermatosparaxis type	AR	225410			
ADAMTS3	219		Hennekam lymphangiectasia-lymphedema syndrome 3	AR	618154			
ADAMTSL2	14631		Geleophysic dysplasia 1	AR	231050			
ADAMTSL4	19706		Ectopia lentis et pupillae	AR	225200			
ADAMTSL4	19706		Ectopia lentis, isolated, autosomal recessive	AR	225100			
ADAR	225		Aicardi-Goutieres syndrome 6	AR	615010			
ADAR	225		Dyschromatosis symmetrica hereditaria	AD	127400			
ADAT3	25151		Neurodevelopmental disorder with brain abnormalities, poor growth, and dysmorphic facies	AR	615286			
ADCY1	232		?Deafness, autosomal recessive 44	AR	610154			
ADCY5	236		Dyskinesia with orofacial involvement, autosomal dominant	AD	606703			
ADCY5	236		Dyskinesia with orofacial involvement, autosomal recessive	AR	619647			
ADCY5	236		Neurodevelopmental disorder with hyperkinetic movements and dyskinesia	AR	619651			
ADCY6	237		Lethal congenital contracture syndrome 8	AR	616287			
ADD3	245		Cerebral palsy, spastic quadriplegic, 3	AR	617008			
ADGRE2	3337		Vibratory urticaria	AD	125630			
ADGRG1	4512		Polymicrogyria, bilateral frontoparietal	AR	606854			
ADGRG1	4512		Polymicrogyria, bilateral perisylvian		615752			
ADGRG2	4516		Congenital bilateral absence of vas deferens, X-linked	X	300985			
ADGRG6	13841		Lethal congenital contracture syndrome 9	AR	616503			
ADGRV1	17416		?Febrile seizures, familial, 4	AD	604352			
ADGRV1	17416		Usher syndrome, type 2C	AR	605472			
ADGRV1	17416		Usher syndrome, type 2C, GPR98/PDZD7 digenic	AR	605472			
ADK	257		Hypermethioninemia due to adenosine kinase deficiency	AR	614300			
ADNP	15766		Helsmoortel-van der Aa syndrome	AD	615873			
ADPRS	21304		Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures	AR	618170			
ADSL	291		Adenylosuccinase deficiency	AR	103050			
ADSS1	20093		Myopathy, distal, 5	AR	617030			
AFF2	3776		Intellectual developmental disorder, X-linked 109	XR	309548			
AFF3	6473		KINSSHIP syndrome	AD	619297			
AFF4	17869		CHOPS syndrome	AD	616368			
AFG3L2	315		Optic atrophy 12	AD	618977			
AFG3L2	315		Spastic ataxia 5, autosomal recessive	AR	614487			
AFG3L2	315		Spinocerebellar ataxia 28	AD	610246			
AFP	317		Alpha-fetoprotein deficiency	AR	615969			
AFP	317		[Hereditary persistence of alpha-fetoprotein]	AD	615970			
AGA	318		Aspartylglucosaminuria	AR	208400			
AGBL1	26504		Corneal dystrophy, Fuchs endothelial, 8	AD	615523			
AGBL5	26147		Retinitis pigmentosa 75	AR	617023			
AGK	21869		Cataract 38, autosomal recessive	AR	614691			
AGK	21869		Sengers syndrome	AR	212350			
AGL	321		Glycogen storage disease IIIa	AR	232400			
AGL	321		Glycogen storage disease IIIb	AR	232400			
AGPAT2	325		Lipodystrophy, congenital generalized, type 1	AR	608594			
AGPS	327		Rhizomelic chondrodysplasia punctata, type 3	AR	600121			
AGRN	329		Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects	AR	615120			
AGT	333		Renal tubular dysgenesis	AR	267430			
AGT	333		{Hypertension, essential, susceptibility to}		145500			
AGT	333		{Preeclampsia, susceptibility to}					
AGTPBP1	17258		Neurodegeneration, childhood-onset, with cerebellar atrophy	AR	618276			
AGTR1	336		Renal tubular dysgenesis	AR	267430			
AGTR1	336		{Hypertension, essential}		145500			
AGXT	341		Hyperoxaluria, primary, type 1	AR	259900			
AGXT2	14412		[Beta-aminoisobutyric acid, urinary excretion of]	AR	210100			
AHCY	343		Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase	AR	613752			
AHDC1	25230		Xia-Gibbs syndrome	AD	615829			
AHI1	21575		Joubert syndrome 3	AR	608629			
AICDA	13203		Immunodeficiency with hyper-IgM, type 2	AR	605258			
AIFM1	8768		Combined oxidative phosphorylation deficiency 6	XR	300816			
AIFM1	8768		Cowchock syndrome	XR	310490			
AIFM1	8768		Deafness, X-linked 5	XR	300614			
AIFM1	8768		Spondyloepimetaphyseal dysplasia, X-linked, with hypomyelinating leukodystrophy	XR	300232			
AIMP1	10648		Leukodystrophy, hypomyelinating, 3	AR	260600			
AIMP2	20609		Leukodystrophy, hypomyelinating, 17	AR	618006			
AIP	358		Pituitary adenoma 1, multiple types	AD/SM	102200			
AIP	358		Pituitary adenoma predisposition	AD/SM	102200			
AIPL1	359		Cone-rod dystrophy	AD/AR	604393			
AIPL1	359		Leber congenital amaurosis 4	AD/AR	604393			
AIPL1	359		Retinitis pigmentosa, juvenile	AD/AR	604393			
AIRE	360		Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia	AD/AR	240300			
AK1	361		Hemolytic anemia due to adenylate kinase deficiency	AR	612631			
AK2	362		Reticular dysgenesis	AR	267500			
AK7	20091		?Spermatogenic failure 27	AR	617965			
AKAP9	379		?Long QT syndrome 11	AD	611820			
AKR1C2	385		46XY sex reversal 8	AR	614279			
AKR1D1	388		Bile acid synthesis defect, congenital, 2	AR	235555			
AKT1	391		Breast cancer, somatic		114480			
AKT1	391		Colorectal cancer, somatic		114500			
AKT1	391		Cowden syndrome 6		615109			
AKT1	391		Ovarian cancer, somatic		167000			
AKT1	391		Proteus syndrome, somatic		176920			
AKT2	392		Diabetes mellitus, type II	AD	125853			
AKT2	392		Hypoinsulinemic hypoglycemia with hemihypertrophy	AD	240900			
AKT3	393		Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2	AD	615937			
ALAD	395		Porphyria, acute hepatic	AR	612740			
ALAD	395		{Lead poisoning, susceptibility to}	AR	612740			
ALAS2	397		Anemia, sideroblastic, 1	XR	300751			
ALAS2	397		Protoporphyria, erythropoietic, X-linked	X	300752			
ALB	399		?[Dysalbuminemic hypertriiodothyroninemia]	AD/AR	615999			
ALB	399		Analbuminemia	AR	616000			
ALB	399		[Dysalbuminemic hyperthyroxinemia]	AD/AR	615999			
ALDH18A1	9722		Cutis laxa, autosomal dominant 3	AD	616603			
ALDH18A1	9722		Cutis laxa, autosomal recessive, type IIIA	AR	219150			
ALDH18A1	9722		Spastic paraplegia 9A, autosomal dominant	AD	601162			
ALDH18A1	9722		Spastic paraplegia 9B, autosomal recessive	AR	616586			
ALDH1A3	409		Microphthalmia, isolated 8	AR	615113			
ALDH3A2	403		Sjogren-Larsson syndrome	AR	270200			
ALDH4A1	406		Hyperprolinemia, type II	AR	239510			
ALDH5A1	408		Succinic semialdehyde dehydrogenase deficiency	AR	271980			
ALDH6A1	7179		Methylmalonate semialdehyde dehydrogenase deficiency	AR	614105			
ALDH7A1	877		Epilepsy, pyridoxine-dependent	AR	266100			
ALDOA	414		Glycogen storage disease XII	AR	611881			
ALDOB	417		Fructose intolerance, hereditary	AR	229600			
ALG1	18294		Congenital disorder of glycosylation, type Ik	AR	608540			
ALG11	32456		Congenital disorder of glycosylation, type Ip	AR	613661			
ALG12	19358		Congenital disorder of glycosylation, type Ig	AR	607143			
ALG13	30881		?Congenital disorder of glycosylation, type Is	X	300884			
ALG13	30881		Developmental and epileptic encephalopathy 36	X	300884			
ALG14	28287		?Myasthenic syndrome, congenital, 15, without tubular aggregates	AR	616227			
ALG14	28287		Intellectual developmental disorder with epilepsy, behavioral abnormalities, and coarse facies	AR	619031			
ALG14	28287		Myopathy, epilepsy, and progressive cerebral atrophy	AR	619036			
ALG2	23159		?Congenital disorder of glycosylation, type Ii	AR	607906			
ALG2	23159		Myasthenic syndrome, congenital, 14, with tubular aggregates	AR	616228			
ALG3	23056		Congenital disorder of glycosylation, type Id	AR	601110			
ALG6	23157		Congenital disorder of glycosylation, type Ic	AR	603147			
ALG8	23161		Congenital disorder of glycosylation, type Ih	AR	608104			
ALG8	23161		Polycystic liver disease 3 with or without kidney cysts	AD	617874			
ALG9	15672		Congenital disorder of glycosylation, type Il	AR	608776			
ALG9	15672		Gillessen-Kaesbach-Nishimura syndrome	AR	263210			
ALK	427		{Neuroblastoma, susceptibility to, 3}		613014			
ALKBH8	25189		Intellectual developmental disorder, autosomal recessive 71	AR	618504			
ALMS1	428		Alstrom syndrome	AR	203800			
ALOX12B	430		Ichthyosis, congenital, autosomal recessive 2	AR	242100			
ALOXE3	13743		Ichthyosis, congenital, autosomal recessive 3	AR	606545			
ALPI	437		Congenital disorder of glycosylation, type Icc	XR	301031			
ALPI	437		Immunodeficiency, X-linked, with magnesium defect, Epstein-Barr virus infection and neoplasia	XR	300853			
ALPL	438		Hypophosphatasia, adult	AD/AR	146300			
ALPL	438		Hypophosphatasia, childhood	AR	241510			
ALPL	438		Hypophosphatasia, infantile	AR	241500			
ALPL	438		Odontohypophosphatasia	AD/AR	146300			
ALS2	443		Amyotrophic lateral sclerosis 2, juvenile	AR	205100			
ALS2	443		Primary lateral sclerosis, juvenile	AR	606353			
ALS2	443		Spastic paralysis, infantile onset ascending	AR	607225			
ALX1	1494		Frontonasal dysplasia 3	AR	613456			
ALX3	449		Frontonasal dysplasia 1	AR	136760			
ALX4	450		Frontonasal dysplasia 2	AR	613451			
ALX4	450		Parietal foramina 2	AD	609597			
ALX4	450		{Craniosynostosis 5, susceptibility to}	AD	615529			
AMACR	451		Alpha-methylacyl-CoA racemase deficiency	AR	614307			
AMACR	451		Bile acid synthesis defect, congenital, 4	AR	214950			
AMBN	452		Amelogenesis imperfecta, type IF	AR	616270			
AMELX	461		Amelogenesis imperfecta, type 1E	XD	301200			
AMER1	26837		Osteopathia striata with cranial sclerosis	XD	300373			
AMH	464		Persistent Mullerian duct syndrome, type I	AR	261550			
AMHR2	465		Persistent Mullerian duct syndrome, type II	AR	261550			
AMMECR1	467		Midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis	XR	300990			
AMN	14604		Adrenoleukodystrophy	XR	300100			
AMN	14604		Adrenomyeloneuropathy, adult	XR	300100			
AMN	14604		Imerslund-Grasbeck syndrome 2	AR	618882			
AMPD1	468		Myopathy due to myoadenylate deaminase deficiency	AR	615511			
AMPD2	469		?Spastic paraplegia 63	AR	615686			
AMPD2	469		Pontocerebellar hypoplasia, type 9	AR	615809			
AMPD3	470		[AMP deaminase deficiency, erythrocytic]	AR	612874			
AMT	473		Glycine encephalopathy	AR	605899			
AMTN	33188		?Amelogenesis imperfecta, type IIIB	AD	617607			
ANAPC1	19988		Rothmund-Thomson syndrome, type 1	AR	618625			
ANG	483		Amyotrophic lateral sclerosis 9		611895			
ANGPTL3	491		Hypobetalipoproteinemia, familial, 2	AR	605019			
ANK1	492		Spherocytosis, type 1	AD/AR	182900			
ANK2	493		Cardiac arrhythmia, ankyrin-B-related	AD	600919			
ANK2	493		Long QT syndrome 4	AD	600919			
ANK3	494		Mental retardation, autosomal recessive, 37	AR	615493			
ANKH	15492		Chondrocalcinosis 2	AD	118600			
ANKH	15492		Craniometaphyseal dysplasia	AD	123000			
ANKLE2	29101		Microcephaly 16, primary, autosomal recessive	AR	616681			
ANKRD1	15819		Cerebellar ataxia and mental retardation with or without quadrupedal locomotion 3	AR	613227			
ANKRD11	21316		KBG syndrome	AD	148050			
ANKRD26	29186		Thrombocytopenia 2	AD	188000			
ANKS6	26724		Nephronophthisis 16	AR	615382			
ANLN	14082		Focal segmental glomerulosclerosis 8	AD	616032			
ANO10	25519		Spinocerebellar ataxia, autosomal recessive 10	AR	613728			
ANO3	14004		Dystonia 24	AD	615034			
ANO5	27337		Gnathodiaphyseal dysplasia	AD	166260			
ANO5	27337		Miyoshi muscular dystrophy 3	AR	613319			
ANO5	27337		Muscular dystrophy, limb-girdle, autosomal recessive 12	AR	611307			
ANO6	25240		Scott syndrome	AR	262890			
ANOS1	6211		Hypogonadotropic hypogonadism 1 with or without anosmia (Kallmann syndrome 1)	XR	308700			
ANTXR1	21014		GAPO syndrome	AR	230740			
ANTXR1	21014		{?Hemangioma, capillary infantile, susceptibility to}	AD	602089			
ANTXR2	21732		Hyaline fibromatosis syndrome	AR	228600			
ANXA11	535		Amyotrophic lateral sclerosis 23	AD	617839			
AP1B1	554		Keratitis-ichthyosis-deafness syndrome, autosomal recessive	AR	242150			
AP1S1	559		MEDNIK syndrome	AR	609313			
AP1S2	560		Pettigrew syndrome	XR	304340			
AP1S3	18971		{Psoriasis 15, pustular, susceptibility to}	AD	616106			
AP2M1	564		Intellectual developmental disorder 60 with seizures	AD	618587			
AP2S1	565		Hypocalciuric hypercalcemia, type III	AD	600740			
AP3B1	566		Hermansky-Pudlak syndrome 2	AR	608233			
AP3B2	567		Developmental and epileptic encephalopathy 48	AR	617276			
AP3D1	568		?Hermansky-Pudlak syndrome 10	AR	617050			
AP4B1	572		Spastic paraplegia 47, autosomal recessive	AR	614066			
AP4E1	573		Spastic paraplegia 51, autosomal recessive	AR	613744			
AP4E1	573		Stuttering, familial persistent, 1	AD	184450			
AP4M1	574		Spastic paraplegia 50, autosomal recessive	AR	612936			
AP4S1	575		Spastic paraplegia 52, autosomal recessive	AR	614067			
AP5Z1	22197		Spastic paraplegia 48, autosomal recessive	AR	613647			
APC	583		Adenoma, periampullary, somatic		175100			
APC	583		Adenomatous polyposis coli	AD	175100			
APC	583		Brain tumor-polyposis syndrome 2	AD	175100			
APC	583		Colorectal cancer, somatic		114500			
APC	583		Desmoid disease, hereditary	AD	135290			
APC	583		Gardner syndrome	AD	175100			
APC	583		Gastric adenocarcinoma and proximal polyposis of the stomach	AD	619182			
APC	583		Gastric cancer, somatic		613659			
APC	583		Hepatoblastoma, somatic		114550			
APC2	24036		Cortical dysplasia, complex, with other brain malformations 10	AR	618677			
APC2	24036		Intellectual developmental disorder, autosomal recessive 74	AR	617169			
APCDD1	15718		Hypotrichosis 1	AD	605389			
APOA1	600		Amyloidosis, 3 or more types	AD	105200			
APOA1	600		ApoA-I and apoC-III deficiency, combined		618463			
APOA1	600		Hypoalphalipoproteinemia, primary, 2, with or without corneal clouding		618463			
APOA2	601		Apolipoprotein A-II deficiency					
APOA2	601		{Hypercholesterolemia, familial, modifier of}	AD/AR	143890			
APOA5	17288		Hyperchylomicronemia, late-onset	AD	144650			
APOA5	17288		{Hypertriglyceridemia, susceptibility to}	AD	145750			
APOB	603		Hypercholesterolemia, familial, 2	AD	144010			
APOB	603		Hypobetalipoproteinemia	AR	615558			
APOC2	609		Hyperlipoproteinemia, type Ib	AR	207750			
APOC3	610		Apolipoprotein C-III deficiency		614028			
APOE	613		Alzheimer disease 2	AD	104310			
APOE	613		Hyperlipoproteinemia, type III		617347			
APOE	613		Lipoprotein glomerulopathy		611771			
APOE	613		Sea-blue histiocyte disease	AR	269600			
APOE	613		{?Alzheimer disease, protection against, due to APOE3-Christchurch}	AD	607822			
APOE	613		{?Macular degeneration, age-related}	AD	603075			
APOE	613		{Coronary artery disease, severe, susceptibility to}		617347			
APOL1	618		{End-stage renal disease, nondiabetic, susceptibility to}		612551			
APOL1	618		{Glomerulosclerosis, focal segmental, 4, susceptibility to}		612551			
APP	620		Alzheimer disease 1, familial	AD	104300			
APP	620		Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants	AD	605714			
APPL1	24035		{Maturity-onset diabetes of the young, type 14}	AD	616511			
APRT	626		Adenine phosphoribosyltransferase deficiency	AR	614723			
APTX	15984		Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia	AR	208920			
AQP1	633		[Aquaporin-1 deficiency]		110450			
AQP1	633		[Blood group, Colton]		110450			
AQP2	634		Diabetes insipidus, nephrogenic, 2	AD/AR	125800			
AQP5	638		Palmoplantar keratoderma, Bothnian type	AD	600231			
AQP7	640		[Glycerol quantitative trait locus]	AR	614411			
AR	644		Androgen insensitivity	XR	300068			
AR	644		Androgen insensitivity, partial, with or without breast cancer	XR	312300			
AR	644		Hypospadias 1, X-linked	XR	300633			
AR	644		Spinal and bulbar muscular atrophy of Kennedy	XR	313200			
AR	644		{Prostate cancer, susceptibility to}	AD/SM	176807			
ARCN1	649		Short stature, rhizomelic, with microcephaly, micrognathia, and developmental delay	AD	617164			
ARF1	652		Periventricular nodular heterotopia 8	AD	618185			
ARFGEF2	15853		Periventricular heterotopia with microcephaly	AR	608097			
ARG1	663		Argininemia	AR	207800			
ARHGAP26	17073		Leukemia, juvenile myelomonocytic, somatic		607785			
ARHGAP31	29216		Adams-Oliver syndrome 1	AD	100300			
ARHGDIA	678		Nephrotic syndrome, type 8	AR	615244			
ARHGEF10	14103		?Slowed nerve conduction velocity, AD	AD	608236			
ARHGEF18	17090		Retinitis pigmentosa 78	AR	617433			
ARHGEF2	682		?Neurodevelopmental disorder with midbrain and hindbrain malformations	AR	617523			
ARHGEF6	685		Mental retardation, X-linked 46	XR	300436			
ARHGEF9	14561		Developmental and epileptic encephalopathy 8	X	300607			
ARID1A	11110		Coffin-Siris syndrome 2	AD	614607			
ARID1B	18040		Coffin-Siris syndrome 1	AD	135900			
ARID2	18037		Coffin-Siris syndrome 6	AD	617808			
ARL13B	25419		Joubert syndrome 8	AR	612291			
ARL2BP	17146		Retinitis pigmentosa with or without situs inversus	AR	615434			
ARL3	694		Joubert syndrome 35	AR	618161			
ARL3	694		Retinitis pigmentosa 83	AD	618173			
ARL6	13210		Bardet-Biedl syndrome 3	AR	600151			
ARL6	13210		Retinitis pigmentosa 55	AR	613575			
ARL6	13210		{Bardet-Biedl syndrome 1, modifier of}	AR/DR	209900			
ARL6IP1	697		?Spastic paraplegia 61, autosomal recessive	AR	615685			
ARMC5	25781		ACTH-independent macronodular adrenal hyperplasia 2	AD/SM	615954			
ARMC9	20730		Joubert syndrome 30	AR	617622			
ARNT2	16876		?Webb-Dattani syndrome	AR	615926			
ARPC1B	704		Immunodeficiency 71 with inflammatory disease and congenital thrombocytopenia	AR	617718			
ARR3	710		Myopia 26, X-linked, female-limited	X	301010			
ARSA	713		Metachromatic leukodystrophy	AR	250100			
ARSB	714		Mucopolysaccharidosis type VI (Maroteaux-Lamy)	AR	253200			
ARSL	719		Chondrodysplasia punctata, X-linked recessive	XR	302950			
ARV1	29561		Developmental and epileptic encephalopathy 38	AR	617020			
ARX	18060		Developmental and epileptic encephalopathy 1	XR	308350			
ARX	18060		Hydranencephaly with abnormal genitalia	X	300215			
ARX	18060		Intellectual developmental disorder, X-linked 29	XR	300419			
ARX	18060		Lissencephaly, X-linked 2	X	300215			
ARX	18060		Partington syndrome	XR	309510			
ARX	18060		Proud syndrome	X	300004			
