# Genepanel: OMIM Version: 01 Date: 2017-11-07
#gene symbol	HGNC	remove (add x)	phenotype	inheritance	omim_number	pmid	inheritance info	comment
ABCC11	14639		[Earwax, wet/dry]	AD	117800			
ABCC11	14639		[Colostrum secretion, variation in]	AD	117800			
ABCC11	14639		[Axillary odor, variation in]	AD	117800			
ABCC2	53		Dubin-Johnson syndrome	AR	237500			
ABCC6	57		Arterial calcification, generalized, of infancy, 2	AR	614473			
ABCC6	57		Pseudoxanthoma elasticum	AR	264800			
ABCC6	57		Pseudoxanthoma elasticum, forme fruste	AD	177850			
ABCC8	59		Diabetes mellitus, noninsulin-dependent	AD	125853			
ABCC8	59		Diabetes mellitus, permanent neonatal	AD	606176			
ABCC8	59		Diabetes mellitus, transient neonatal 2		610374			
ABCC8	59		Hyperinsulinemic hypoglycemia, familial, 1	AD;AR	256450			
ABCC8	59		Hypoglycemia of infancy, leucine-sensitive	AD	240800			
ABCC9	60		Atrial fibrillation, familial, 12	AD	614050			
ABCC9	60		Cardiomyopathy, dilated, 1O		608569			
ABCC9	60		Hypertrichotic osteochondrodysplasia	AD	239850			
ABCD1	61		Adrenomyeloneuropathy, adult	XR	300100			
ABCD1	61		Adrenoleukodystrophy	XR	300100			
ABCD3	67		?Bile acid synthesis defect, congenital, 5	AR	616278			
ABCD4	68		Methylmalonic aciduria and homocystinuria, cblJ type	AR	614857			
ABCG2	74		[Junior blood group system]		614490			
ABCG2	74		[Uric acid concentration, serum, QTL1]	AD	138900			
ABCG5	13886		Sitosterolemia	AR	210250			
ABCG8	13887		Sitosterolemia	AR	210250			
ABCG8	13887		{Gallbladder disease 4}		611465			
ABHD12	15868		Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract	AR	612674			
ABHD5	21396		Chanarin-Dorfman syndrome	AR	275630			
ABL1	76		Congenital heart defects and skeletal malformations syndrome	AD	617602			
ABL1	76		Leukemia, Philadelphia chromosome-positive, resistant to imatinib					
ABL2	77		Leukemia, acute myeloid, with eosinophilia					
ABO			[Blood group, ABO system]		616093			
ACACA	84		Acetyl-CoA carboxylase deficiency	AR	613933			
ACAD8	87		Isobutyryl-CoA dehydrogenase deficiency		611283			
ACAD9	21497		Mitochondrial complex I deficiency due to ACAD9 deficiency	AR	611126			
ACADM	89		Acyl-CoA dehydrogenase, medium chain, deficiency of	AR	201450			
ACADS	90		Acyl-CoA dehydrogenase, short-chain, deficiency of	AR	201470			
ACADSB	91		2-methylbutyrylglycinuria	AR	610006			
ACADVL	92		VLCAD deficiency	AR	201475			
ACAN	319		?Spondyloepimetaphyseal dysplasia, aggrecan type	AR	612813			
ACAN	319		?Spondyloepiphyseal dysplasia, Kimberley type	AD	608361			
ACAN	319		Short stature and advanced bone age, with or without early-onset osteoarthritis and/or osteochondritis dissecans	AD	165800			
ACAT1	93		Alpha-methylacetoacetic aciduria	AR	203750			
ACAT2	94		?ACAT2 deficiency	IC	614055			
ACD	25070		?Dyskeratosis congenita, autosomal dominant 6	AD;AR	616553			
ACD	25070		?Dyskeratosis congenita, autosomal recessive 7	AD;AR	616553			
ACHE			[Blood group, Yt system]		112100			
ACKR1			[Blood group, Duffy system]	AD	110700			
ACKR1			[White blood cell count QTL]		611862			
ACKR1			{Malaria, vivax, protection against}		611162			
ACO2	118		?Optic atrophy 9	AR	616289			
ACO2	118		Infantile cerebellar-retinal degeneration	AR	614559			
ACOX1	119		Peroxisomal acyl-CoA oxidase deficiency	AR	264470			
ACOX2	120		Bile acid synthesis defect, congenital, 6	AR	617308			
ACP2	123		?Lysosomal acid phosphatase deficiency	AR	200950			
ACP5	124		Spondyloenchondrodysplasia with immune dysregulation	AR	607944			
ACPT	14376		Amelogenesis imperfecta, type IJ	AR	617297			
ACR	126		?Male infertility due to acrosin deficiency		102480			
ACSF3	27288		Combined malonic and methylmalonic aciduria		614265			
ACSL4	3571		Mental retardation, X-linked 63	XD	300387			
ACSL6	16496		Myelodysplastic syndrome					
ACSL6	16496		Myelogenous leukemia, acute					
ACSM3	10522		{?Hypertension, essential}					
ACTA1	129		?Myopathy, scapulohumeroperoneal	AD	616852			
ACTA1	129		Myopathy, actin, congenital, with cores	AD;AR	161800			
ACTA1	129		Myopathy, actin, congenital, with excess of thin myofilaments	AD;AR	161800			
ACTA1	129		Myopathy, congenital, with fiber-type disproportion 1	AD;AR	255310			
ACTA1	129		Nemaline myopathy 3, autosomal dominant or recessive	AD;AR	161800			
ACTA2	130		Aortic aneurysm, familial thoracic 6	AD	611788			
ACTA2	130		Moyamoya disease 5		614042			
ACTA2	130		Multisystemic smooth muscle dysfunction syndrome	AD	613834			
ACTB	132		Baraitser-Winter syndrome 1	AD	243310			
ACTB	132		?Dystonia, juvenile-onset	AD	607371			
ACTC1	143		Atrial septal defect 5	AD	612794			
ACTC1	143		Left ventricular noncompaction 4	AD	613424			
ACTC1	143		Cardiomyopathy, hypertrophic, 11	AD	612098			
ACTC1	143		Cardiomyopathy, dilated, 1R	AD	613424			
ACTG1	144		Deafness, autosomal dominant 20/26	AD	604717			
ACTG1	144		Baraitser-Winter syndrome 2	AD	614583			
ACTG2	145		Visceral myopathy	AD	155310			
ACTN1	163		Bleeding disorder, platelet-type, 15	AD	615193			
ACTN2	164		Cardiomyopathy, hypertrophic, 23, with or without LVNC	AD	612158			
ACTN2	164		Cardiomyopathy, dilated, 1AA, with or without LVNC	AD	612158			
ACTN4	166		Glomerulosclerosis, focal segmental, 1	AD	603278			
ACVR1	171		Fibrodysplasia ossificans progressiva	AD	135100			
ACVR1B	172		Pancreatic cancer, somatic					
ACVR2B	174		Heterotaxy, visceral, 4, autosomal		613751			
ACVRL1	175		Telangiectasia, hereditary hemorrhagic, type 2	AD	600376			
ACY1	177		Aminoacylase 1 deficiency	AR	609924			
ADA	186		Adenosine deaminase deficiency, partial	AR	102700			
ADA	186		Severe combined immunodeficiency due to ADA deficiency	AR	102700			
ADAM10	188		{Alzheimer disease 18, susceptibility to}		615590			
ADAM10	188		Reticulate acropigmentation of Kitamura	AD	615537			
ADAM17	195		?Inflammatory skin and bowel disease, neonatal, 1	AR	614328			
ADAM9	216		Cone-rod dystrophy 9		612775			
ADAMTS10	13201		Weill-Marchesani syndrome 1, recessive	AR	277600			
ADAMTS13	1366		Thrombotic thrombocytopenic purpura, familial	AR	274150			
ADAMTS17	17109		Weill-Marchesani-like syndrome	AR	613195			
ADAMTS18	17110		Microcornea, myopic chorioretinal atrophy, and telecanthus	AR	615458			
ADAMTS2	218		Ehlers-Danlos syndrome, type VIIC	AR	225410			
ADAMTSL2	14631		Geleophysic dysplasia 1	AR	231050			
ADAMTSL4	19706		Ectopia lentis et pupillae	AR	225200			
ADAMTSL4	19706		Ectopia lentis, isolated, autosomal recessive	AR	225100			
ADAR	225		Aicardi-Goutieres syndrome 6	AR	615010			
ADAR	225		Dyschromatosis symmetrica hereditaria	AD	127400			
ADAT3	25151		Mental retardation, autosomal recessive 36	AR	615286			
ADCY1	232		?Deafness, autosomal recessive 44	AR	610154			
ADCY10	21285		{Hypercalciuria, absorptive, susceptibility to}	AD	143870			
ADCY5	236		Dyskinesia, familial, with facial myokymia	AD	606703			
ADCY6			?Lethal congenital contracture syndrome 8	AR	616287			
ADD1	243		{Hypertension, essential, salt-sensitive}		145500			
ADD3	245		Cerebral palsy, spastic quadriplegic, 3	AR	617008			
ADGRE2			Vibratory urticaria	AD	125630			
ADGRG1			Polymicrogyria, bilateral perisylvian		615752			
ADGRG1			Polymicrogyria, bilateral frontoparietal	AR	606854			
ADGRG2			Vas deferens, congenital bilateral aplasia of, X-linked	X	300985			
ADGRG6			Lethal congenital contracture syndrome 9	AR	616503			
ADGRV1			Usher syndrome, type 2C, GPR98/PDZD7 digenic	AR	605472			
ADGRV1			Usher syndrome, type 2C	AR	605472			
ADGRV1			?Febrile seizures, familial, 4	AD	604352			
ADH1C	251		{Alcohol dependence, protection against}		103780			
ADH1C	251		{Parkinson disease, susceptibility to}	IC	168600			
ADIPOQ	13633		Adiponectin deficiency		612556			
ADK	257		Hypermethioninemia due to adenosine kinase deficiency	AR	614300			
ADNP	15766		Helsmoortel-van der Aa syndrome	AD	615873			
ADRA2B	282		Epilepsy, myoclonic, familial adult, 2	AD	607876			
ADRB3	288		{Obesity, susceptibility to}	AD;AR	601665			
ADSL	291		Adenylosuccinase deficiency	AR	103050			
AFF2	3776		Mental retardation, X-linked, FRAXE type	XR	309548			
AFF4	17869		CHOPS syndrome	AD	616368			
AFG3L2	315		Spastic ataxia 5, autosomal recessive	AR	614487			
AFG3L2	315		Spinocerebellar ataxia 28	AD	610246			
AFP	317		Alpha-fetoprotein deficiency	AR	615969			
AFP	317		[Hereditary persistence of alpha-fetoprotein]	AD	615970			
AGA	318		Aspartylglucosaminuria	AR	208400			
AGBL1	26504		Corneal dystrophy, Fuchs endothelial, 8	AD	615523			
AGBL5	26147		Retinitis pigmentosa 75	AR	617023			
AGK	21869		Cataract 38, autosomal recessive	AR	614691			
AGK	21869		Sengers syndrome	AR	212350			
AGL	321		Glycogen storage disease IIIa	AR	232400			
AGL	321		Glycogen storage disease IIIb	AR	232400			
AGPAT2	325		Lipodystrophy, congenital generalized, type 1	AR	608594			
AGPS	327		Rhizomelic chondrodysplasia punctata, type 3	AR	600121			
AGRN	329		Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects	AR	615120			
AGRP	330		{Obesity, late-onset}	AD;AR	601665			
AGRP	330		{Leanness, inherited}					
AGTR1	336		Renal tubular dysgenesis	AR	267430			
AGTR1	336		{Hypertension, essential}		145500			
AGXT	341		Hyperoxaluria, primary, type 1	AR	259900			
AGXT2	14412		[Beta-aminoisobutyric acid, urinary excretion of]	AR	210100			
AHCY	343		Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase	AR	613752			
AHDC1	25230		Xia-Gibbs syndrome	AD	615829			
AHI1	21575		Joubert syndrome 3	AR	608629			
AICDA	13203		Immunodeficiency with hyper-IgM, type 2	AR	605258			
AIFM1	8768		Combined oxidative phosphorylation deficiency 6	XR	300816			
AIFM1	8768		Cowchock syndrome	XR	310490			
AIFM1	8768		Deafness, X-linked 5	XR	300614			
AIMP1	10648		Leukodystrophy, hypomyelinating, 3	AR	260600			
AIP	358		Pituitary adenoma predisposition	AD	102000			
AIP	358		Pituitary adenoma 1, multiple types	AD;SMu	102200			
AIPL1	359		Retinitis pigmentosa, juvenile	AR	604393			
AIPL1	359		Leber congenital amaurosis 4	AR	604393			
AIPL1	359		Cone-rod dystrophy	AR	604393			
AIRE	360		Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia	AD;AR	240300			
AK1	361		Hemolytic anemia due to adenylate kinase deficiency	AR	612631			
AK2	362		Reticular dysgenesis	AR	267500			
AKAP10	368		{Cardiac conduction defect, susceptibility to}	AD	115080			
AKAP9	379		?Long QT syndrome-11	AD	611820			
AKR1C2	385		Obesity, hyperphagia, and developmental delay					
AKR1C2	385		46XY sex reversal 8	AR	614279			
AKR1C4	387		{46XY sex reversal 8, modifier of}	AR	614279			
AKR1D1	388		Bile acid synthesis defect, congenital, 2	AR	235555			
AKT1	391		Breast cancer, somatic		114480			
AKT1	391		{Schizophrenia, susceptibility to}	AD	181500			
AKT1	391		Proteus syndrome, somatic		176920			
AKT1	391		Ovarian cancer, somatic		167000			
AKT1	391		Cowden syndrome 6		615109			
AKT1	391		Colorectal cancer, somatic		114500			
AKT2	392		Diabetes mellitus, type II	AD	125853			
AKT2	392		Hypoinsulinemic hypoglycemia with hemihypertrophy	AD	240900			
AKT3	393		Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2	AD	615937			
ALAD	395		Porphyria, acute hepatic	AR	612740			
ALAD	395		{Lead poisoning, susceptibility to}	AR	612740			
ALAS2	397		Protoporphyria, erythropoietic, X-linked	XD	300752			
ALAS2	397		Anemia, sideroblastic, 1	XR	300751			
ALB	399		Analbuminemia		616000			
ALB	399		[Dysalbuminemic hyperthyroxinemia]		615999			
ALDH18A1	9722		Cutis laxa, autosomal dominant 3	AD	616603			
ALDH18A1	9722		Cutis laxa, autosomal recessive, type IIIA	IC;AR	219150			
ALDH18A1	9722		Spastic paraplegia 9A, autosomal dominant	AD	601162			
ALDH18A1	9722		Spastic paraplegia 9B, autosomal recessive	AR	616586			
ALDH1A3	409		Microphthalmia, isolated 8	AR	615113			
ALDH3A2	403		Sjogren-Larsson syndrome	AR	270200			
ALDH4A1	406		Hyperprolinemia, type II	AR	239510			
ALDH5A1	408		Succinic semialdehyde dehydrogenase deficiency	AR	271980			
ALDH6A1	7179		Methylmalonate semialdehyde dehydrogenase deficiency	AR	614105			
ALDH7A1	877		Epilepsy, pyridoxine-dependent	AR	266100			
ALDOA	414		Glycogen storage disease XII	AR	611881			
ALDOB	417		Fructose intolerance, hereditary	AR	229600			
ALG1	18294		Congenital disorder of glycosylation, type Ik	AR	608540			
ALG10	23162		{Long QT syndrome, acquired, reduced susceptibility to}	AD	613688			
ALG11	32456		Congenital disorder of glycosylation, type Ip	AR	613661			
ALG12	19358		Congenital disorder of glycosylation, type Ig		607143			
ALG13	30881		?Congenital disorder of glycosylation, type Is	XD	300884			
ALG13	30881		Epileptic encephalopathy, early infantile, 36	XD	300884			
ALG14	28287		?Myasthenic syndrome, congenital, 15, without tubular aggregates		616227			
ALG2	23159		?Congenital disorder of glycosylation, type Ii	AR	607906			
ALG2	23159		Myasthenic syndrome, congenital, 14, with tubular aggregates	AR	616228			
ALG3	23056		Congenital disorder of glycosylation, type Id	AR	601110			
ALG6	23157		Congenital disorder of glycosylation, type Ic	AR	603147			
ALG8	23161		Congenital disorder of glycosylation, type Ih		608104			
ALG9	15672		Congenital disorder of glycosylation, type Il		608776			
ALG9	15672		Gillessen-Kaesbach-Nishimura syndrome	AR	263210			
ALK	427		{Neuroblastoma, susceptibility to, 3}		613014			
ALMS1	428		Alstrom syndrome	AR	203800			
ALOX12B	430		Ichthyosis, congenital, autosomal recessive 2	AR	242100			
ALOX5	435		{Asthma, diminished response to antileukotriene treatment in}	AD	600807			
ALOX5	435		{Atherosclerosis, susceptibility to}					
ALOX5AP	436		{Stroke, susceptibility to}		601367			
ALOXE3	13743		Ichthyosis, congenital, autosomal recessive 3	AR	606545			
ALPL	438		Odontohypophosphatasia	AD;AR	146300			
ALPL	438		Hypophosphatasia, infantile	AR	241500			
ALPL	438		Hypophosphatasia, childhood	AR	241510			
ALPL	438		Hypophosphatasia, adult	AD;AR	146300			
ALS2	443		Spastic paralysis, infantile onset ascending	AR	607225			
ALS2	443		Primary lateral sclerosis, juvenile	AR	606353			
ALS2	443		Amyotrophic lateral sclerosis 2, juvenile	AR	205100			
ALX1	1494		?Frontonasal dysplasia 3		613456			
ALX3	449		Frontonasal dysplasia 1	AR	136760			
ALX4	450		Frontonasal dysplasia 2	AR	613451			
ALX4	450		Parietal foramina 2	AD	609597			
ALX4	450		{Craniosynostosis 5, susceptibility to}	AD	615529			
AMACR	451		Alpha-methylacyl-CoA racemase deficiency	AR	614307			
AMACR	451		Bile acid synthesis defect, congenital, 4	AR	214950			
AMBN	452		Amelogenesis imperfecta, type IF	AR	616270			
AMELX	461		Amelogenesis imperfecta, type 1E	XD	301200			
AMER1	26837		Osteopathia striata with cranial sclerosis	XD	300373			
AMH	464		Persistent Mullerian duct syndrome, type I	AR	261550			
AMHR2	465		Persistent Mullerian duct syndrome, type II	AR	261550			
AMMECR1	467		Midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis	XR	300990			
AMN	14604		Megaloblastic anemia-1, Norwegian type	AR	261100			
AMN	14604		Adrenomyeloneuropathy, adult	XR	300100			
AMN	14604		Adrenoleukodystrophy	XR	300100			
AMPD1	468		Myopathy due to myoadenylate deaminase deficiency	AR	615511			
AMPD2	469		Pontocerebellar hypoplasia, type 9	AR	615809			
AMPD2	469		?Spastic paraplegia 63	AR	615686			
AMPD3	470		[AMP deaminase deficiency, erythrocytic]	AR	612874			
AMT	473		Glycine encephalopathy	AR	605899			
AMTN	33188		?Amelogenesis imperfecta, type IIIB	AD	617607			
ANG	483		Amyotrophic lateral sclerosis 9		611895			
ANGPTL3	491		Hypobetalipoproteinemia, familial, 2	AR	605019			
ANGPTL4	16039		Plasma triglyceride level QTL, low	AD	615881			
ANK1	492		Spherocytosis, type 1	AD	182900			
ANK2	493		Long QT syndrome 4	AD	600919			
ANK2	493		Cardiac arrhythmia, ankyrin-B-related	AD	600919			
ANK3	494		?Mental retardation, autosomal recessive, 37	AR	615493			
ANKH	15492		Chondrocalcinosis 2	AD	118600			
ANKH	15492		Craniometaphyseal dysplasia	AD	123000			
ANKLE2	29101		?Microcephaly 16, primary, autosomal recessive	AR	616681			
ANKRD11	21316		KBG syndrome	AD	148050			
ANKRD26	29186		Thrombocytopenia 2	AD	188000			
ANKS6	26724		Nephronophthisis 16	AR	615382			
ANLN	14082		Focal segmental glomerulosclerosis 8	AD	616032			
ANO10	25519		Spinocerebellar ataxia, autosomal recessive 10	AR	613728			
ANO3	14004		Dystonia 24	AD	615034			
ANO5	27337		Gnathodiaphyseal dysplasia	AD	166260			
ANO5	27337		Miyoshi muscular dystrophy 3	AR	613319			
ANO5	27337		Muscular dystrophy, limb-girdle, type 2L	AR	611307			
ANO6	25240		Scott syndrome	AR	262890			
ANTXR1	21014		GAPO syndrome	AR	230740			
ANTXR1	21014		{?Hemangioma, capillary infantile, susceptibility to}	AD	602089			
ANTXR2	21732		Hyaline fibromatosis syndrome	AR	228600			
ANXA5	543		{Pregnancy loss, recurrent, susceptibility to, 3}	AD	614391			
AP1S1	559		MEDNIK syndrome	AR	609313			
AP1S2	560		Mental retardation, X-linked syndromic 5	XR	304340			
AP1S3	18971		{Psoriasis 15, pustular, susceptibility to}	AD	616106			
AP2S1	565		Hypocalciuric hypercalcemia, type III	AD	600740			
AP3B1	566		Hermansky-Pudlak syndrome 2	AR	608233			
AP3B2	567		Epileptic encephalopathy, early infantile, 48	AR	617276			
AP3D1	568		?Hermansky-Pudlak syndrome 10	AR	617050			
AP4B1	572		Spastic paraplegia 47, autosomal recessive	AR	614066			
AP4E1	573		Stuttering, familial persistent, 1	AD	184450			
AP4E1	573		Spastic paraplegia 51, autosomal recessive	AR	613744			
AP4M1	574		Spastic paraplegia 50, autosomal recessive	AR	612936			
AP4S1	575		Spastic paraplegia 52, autosomal recessive	AR	614067			
AP5Z1	22197		Spastic paraplegia 48, autosomal recessive	AR	613647			
APC	583		Adenoma, periampullary, somatic					
APC	583		Adenomatous polyposis coli	AD	175100			
APC	583		Brain tumor-polyposis syndrome 2	AD	175100			
APC	583		Colorectal cancer, somatic		114500			
APC	583		Desmoid disease, hereditary	AD	135290			
APC	583		Gardner syndrome	AD	175100			
APC	583		Gastric cancer, somatic		613659			
APC	583		Hepatoblastoma, somatic		114550			
APC2	24036		?Sotos syndrome 3	AR	617169			
APCDD1	15718		Hypotrichosis 1	AD	605389			
APCS	584		{?Amyloidosis, secondary, susceptibility to}					
APOA5	17288		Hyperchylomicronemia, late-onset	AD	144650			
APOA5	17288		{Hypertriglyceridemia, susceptibility to}	AD	145750			
APOC2	609		Hyperlipoproteinemia, type Ib	AR	207750			
APOC3	610		Apolipoprotein C-III deficiency		614028			
APOE	613		Alzheimer disease-2	AD	104310			
APOE	613		{Coronary artery disease, severe, susceptibility to}		617347			
APOE	613		{?Macular degeneration, age-related}	AD	603075			
APOE	613		Sea-blue histiocyte disease	AR	269600			
APOE	613		Lipoprotein glomerulopathy		611771			
APOE	613		Hyperlipoproteinemia, type III		617347			
APOL1	618		{End-stage renal disease, nondiabetic, susceptibility to}		612551			
APOL1	618		{Glomerulosclerosis, focal segmental, 4, susceptibility to}		612551			
APOL2	619		{Schizophrenia}	AD	181500			
APOL4	14867		{Schizophrenia}	AD	181500			
APOPT1	20492		Mitochondrial complex IV deficiency	AR;M	220110			
APP	620		Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants	AD	605714			
APP	620		Alzheimer disease 1, familial	AD	104300			
APPL1	24035		{Maturity-onset diabetes of the young, type 14}	AD	616511			
APRT	626		Adenine phosphoribosyltransferase deficiency	AR	614723			
APTX	15984		Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia	AR	208920			
AQP1	633		[Aquaporin-1 deficiency]					
AQP1	633		[Blood group, Colton]		110450			
AQP2	634		Diabetes insipidus, nephrogenic	AD;AR	125800			
AQP3	636		[Blood group GIL]		607457			
AQP5	638		Palmoplantar keratoderma, Bothnian type	AD	600231			
AQP7			[Glycerol quantitative trait locus]	AR	614411			
AR	644		Androgen insensitivity	XR	300068			
AR	644		Androgen insensitivity, partial, with or without breast cancer	XR	312300			
AR	644		Hypospadias 1, X-linked	XR	300633			
AR	644		Spinal and bulbar muscular atrophy of Kennedy	XR	313200			
AR	644		{Prostate cancer, susceptibility to}	AD	176807			
ARC	648		Myoclonus, familial cortical	AD	614937			
ARCN1	649		Short stature, rhizomelic, with microcephaly, micrognathia, and developmental delay	AD	617164			
ARFGEF2	15853		Periventricular heterotopia with microcephaly	AR	608097			
ARG1	663		Argininemia	AR	207800			
ARHGAP26	17073		Leukemia, juvenile myelomonocytic, somatic		607785			
ARHGAP31	29216		Adams-Oliver syndrome 1	AD	100300			
ARHGDIA	678		Nephrotic syndrome, type 8	AR	615244			
ARHGEF10	14103		?Slowed nerve conduction velocity, AD	AD	608236			
ARHGEF18	17090		Retinitis pigmentosa 78	AR	617433			
ARHGEF2	682		?Neurodevelopmental disorder with midbrain and hindbrain malformations	AR	617523			
ARHGEF6	685		Mental retardation, X-linked 46	XR	300436			
ARHGEF9	14561		Epileptic encephalopathy, early infantile, 8	XR	300607			
ARID1A	11110		Coffin-Siris syndrome 2	AD	614607			
ARID1B	18040		Coffin-Siris syndrome 1	AD	135900			
ARL13B	25419		Joubert syndrome 8	AR	612291			
ARL2BP	17146		Retinitis pigmentosa with or without situs inversus	AR	615434			
ARL6	13210		{Bardet-Biedl syndrome 1, modifier of}	AR;DR	209900			
ARL6	13210		Bardet-Biedl syndrome 3	AR	600151			
ARL6	13210		?Retinitis pigmentosa 55		613575			
ARL6IP1	697		?Spastic paraplegia 61, autosomal recessive	AR	615685			
ARMC4	25583		Ciliary dyskinesia, primary, 23	AR	615451			
ARMC5	25781		ACTH-independent macronodular adrenal hyperplasia 2	AD;SMu	615954			
ARNT2	16876		?Webb-Dattani syndrome	AR	615926			
ARPC1B	704		Platelet abnormalities with eosinophilia and immune-mediated inflammatory disease	AR	617718			
ARSA	713		Metachromatic leukodystrophy	AR	250100			
ARSB	714		Mucopolysaccharidosis type VI (Maroteaux-Lamy)	AR	253200			
ARSE	719		Chondrodysplasia punctata, X-linked recessive	XR	302950			
ART4	726		[Blood group, Dombrock]		616060			
ARV1	29561		Epileptic encephalopathy, early infantile, 38	AR	617020			
ARX	18060		Mental retardation, X-linked 29 and others	XR	300419			
ARX	18060		Lissencephaly, X-linked 2	X	300215			
ARX	18060		Hydranencephaly with abnormal genitalia	X	300215			
ARX	18060		Epileptic encephalopathy, early infantile, 1	XR	308350			
ARX	18060		Proud syndrome	X	300004			
ARX	18060		Partington syndrome	XR	309510			
ASAH1	735		Farber lipogranulomatosis	AR	228000			
ASAH1	735		Spinal muscular atrophy with progressive myoclonic epilepsy	AR	159950			
ASB10	17185		Glaucoma 1, open angle, F		603383			
ASCC1	24268		Barrett esophagus/esophageal adenocarcinoma		614266			
ASCC1	24268		?Spinal muscular atrophy with congenital bone fractures 2	AR	616867			
ASCL1	738		Central hypoventilation syndrome, congenital	AD	209880			
ASCL1	738		Haddad syndrome	AD	209880			
ASIP	745		[Skin/hair/eye pigmentation 9, dark/light hair]		611742			
ASIP	745		[Skin/hair/eye pigmentation 9, brown/nonbrown eyes]		611742			
ASL	746		Argininosuccinic aciduria	AR	207900			
ASNS	753		Asparagine synthetase deficiency	AR	615574			
ASPA	756		Canavan disease	AR	271900			
ASPH	757		Traboulsi syndrome	AR	601552			
ASPM	19048		Microcephaly 5, primary, autosomal recessive	AR	608716			
ASPN	14872		{Osteoarthritis susceptibility 3}	AD	607850			
ASPN	14872		{Lumbar disc degeneration}		603932			
ASPSCR1	13825		Alveolar soft-part sarcoma		606243			
ASS1	758		Citrullinemia	AR	215700			
ASXL1	18318		Myelodysplastic syndrome, somatic		614286			
ASXL1	18318		Bohring-Opitz syndrome	AD	605039			
ASXL2	23805		Shashi-Pena syndrome	AD	617190			
ASXL3	29357		Bainbridge-Ropers syndrome		615485			
ATAD3A	25567		Harel-Yoon syndrome	AD;AR	617183			
ATCAY	779		Ataxia, cerebellar, Cayman type	AR	601238			
ATF6	791		Achromatopsia 7	AR	616517			
ATG16L1	21498		{Inflammatory bowel disease (Crohn disease) 10}		611081			
ATG5	589		?Spinocerebellar ataxia, autosomal recessive 25	AR	617584			
ATIC	794		AICA-ribosiduria due to ATIC deficiency	AR	608688			
ATL1	11231		Spastic paraplegia 3A, autosomal dominant	AD	182600			
ATL1	11231		Neuropathy, hereditary sensory, type ID	AD	613708			
ATL3	24526		Neuropathy, hereditary sensory, type IF	AD	615632			
ATM	795		Ataxia-telangiectasia	AR	208900			
ATM	795		Lymphoma, B-cell non-Hodgkin, somatic					
