# Gene panel: Ciliopati-v6 -- Date: 2021-09-22
#gene symbol	HGNC	remove (add x)	phenotype	inheritance	omim_number	pmid	inheritance info	comment
CEP104	24866		Joubert syndrome 25	AR	616781			
CEP120	26690		Joubert syndrome 31	AR	617761			
CEP120	26690		Short-rib thoracic dysplasia 13 with or without polydactyly	AR	616300			
CEP164	29182		Nephronophthisis 15	AR	614845			
CEP290	29021		?Bardet-Biedl syndrome 14	AR	615991			
CEP290	29021		Joubert syndrome 5	AR	610188			
CEP290	29021		Leber congenital amaurosis 10		611755			
CEP290	29021		Meckel syndrome 4	AR	611134			
CEP290	29021		Senior-Loken syndrome 6	AR	610189			
CEP41	12370		Joubert syndrome 15	AR	614464			
CEP83	17966		Nephronophthisis 18	AR	615862			
CFAP298	1301		Ciliary dyskinesia, primary, 26	AR	615500			
CFAP53	26530		Heterotaxy, visceral, 6, autosomal recessive	AR	614779			
CLRN1	12605		Retinitis pigmentosa 61		614180			
CLRN1	12605		Usher syndrome, type 3A	AR	276902			
CPLANE1	25801		Joubert syndrome 17	AR	614615			
CPLANE1	25801		Orofaciodigital syndrome VI	AR	277170			
CRB1	2343		Leber congenital amaurosis 8	AR	613835			
CRB1	2343		Pigmented paravenous chorioretinal atrophy	AD	172870			
CRB1	2343		Retinitis pigmentosa-12	AR	600105			
CRELD1	14630		Atrioventricular septal defect, partial, with heterotaxy syndrome	AD	606217			
CRELD1	14630		{Atrioventricular septal defect, susceptibility to, 2}	AD	606217			
CRX	2383		Cone-rod retinal dystrophy-2	AD	120970			
CRX	2383		Leber congenital amaurosis 7		613829			
CSPP1	26193		Joubert syndrome 21	AR	615636			
DCDC2	18141		?Deafness, autosomal recessive 66	AR	610212			
DCDC2	18141		Nephronophthisis 19	AR	616217			
DCDC2	18141		Sclerosing cholangitis, neonatal	AR	617394			
DDX59	25360		Orofaciodigital syndrome V	AR	174300			
DNAAF1	30539		Ciliary dyskinesia, primary, 13	AR	613193			
DNAAF2	20188		Ciliary dyskinesia, primary, 10	AR	612518			
DNAAF3	30492		Ciliary dyskinesia, primary, 2	AR	606763			
DNAAF4	21493		Ciliary dyskinesia, primary, 25	AR	615482			
DNAAF4	21493		{Dyslexia, susceptibility to, 1}	AD	127700			
DNAAF5	26013		Ciliary dyskinesia, primary, 18	AR	614874			
DNAH11	2942		Ciliary dyskinesia, primary, 7, with or without situs inversus	AR	611884			
DNAH5	2950		Ciliary dyskinesia, primary, 3, with or without situs inversus	AR	608644			
DNAI1	2954		Ciliary dyskinesia, primary, 1, with or without situs inversus	AR	244400			
DNAI2	18744		Ciliary dyskinesia, primary, 9, with or without situs inversus	AR	612444			
DNAJB13	30718		Ciliary dyskinesia, primary, 34	AR	617091			
DNAL1	23247		Ciliary dyskinesia, primary, 16	AR	614017			
DPH1	3003		Developmental delay with short stature, dysmorphic facial features, and sparse hair	AR	616901			
DRC1	24245		Ciliary dyskinesia, primary, 21	AR	615294			
DYNC2H1	2962		Short-rib thoracic dysplasia 3 with or without polydactyly	AR/DR	613091			
DYNC2LI1	24595		Short-rib thoracic dysplasia 15 with polydactyly	AR	617088			
EVC	3497		?Weyers acrofacial dysostosis	AD	193530			
EVC	3497		Ellis-van Creveld syndrome	AR	225500			
EVC2	19747		Ellis-van Creveld syndrome	AR	225500			
EVC2	19747		Weyers acrofacial dysostosis	AD	193530			
GAS8	4166		Ciliary dyskinesia, primary, 33	AR	616726			
GDF6	4221		Klippel-Feil syndrome 1, autosomal dominant	AD	118100			
GDF6	4221		Leber congenital amaurosis 17	AR	615360			
GDF6	4221		Microphthalmia with coloboma 6, digenic	AD	613703			
GDF6	4221		Microphthalmia, isolated 4		613094			
GDF6	4221		Multiple synostoses syndrome 4	AD	617898			
GLI3	4319		Greig cephalopolysyndactyly syndrome	AD	175700			
GLI3	4319		Pallister-Hall syndrome	AD	146510			
GLI3	4319		Polydactyly, postaxial, types A1 and B	AD	174200			
GLI3	4319		Polydactyly, preaxial, type IV	AD	174700			
GLIS2	29450		Nephronophthisis 7		611498			
GUCY2D	4689		?Choroidal dystrophy, central areolar 1	AD	215500			
GUCY2D	4689		Cone-rod dystrophy 6	AD/AR	601777			
GUCY2D	4689		Leber congenital amaurosis 1	AR	204000			
GUCY2D	4689		Night blindness, congenital stationary, type 1I	AR	618555			
HNF1B	11630		Renal cysts and diabetes syndrome	AD	137920			
HNF1B	11630		Type 2 diabetes mellitus	AD	125853			
HNF1B	11630		{Renal cell carcinoma}		144700			
HYLS1	26558		Hydrolethalus syndrome	AR	236680			
IFT122	13556		Cranioectodermal dysplasia 1	AR	218330			
IFT140	29077		Retinitis pigmentosa 80	AR	617781			
IFT140	29077		Short-rib thoracic dysplasia 9 with or without polydactyly	AR	266920			
IFT172	30391		Bardet-Biedl syndrome 20	AR	619471			
IFT172	30391		Retinitis pigmentosa 71	AR	616394			
IFT172	30391		Short-rib thoracic dysplasia 10 with or without polydactyly	AR	615630			
IFT27	18626		Bardet-Biedl syndrome 19	AR	615996			
IFT43	29669		?Cranioectodermal dysplasia 3	AR	614099			
IFT43	29669		?Retinitis pigmentosa 81	AR	617871			
IFT43	29669		Short-rib thoracic dysplasia 18 with polydactyly	AR	617866			
IFT52	15901		Short-rib thoracic dysplasia 16 with or without polydactyly	AR	617102			
IFT74	21424		?Bardet-Biedl syndrome 22	AR	617119			
IFT80	29262		Short-rib thoracic dysplasia 2 with or without polydactyly	AR	611263			
IMPDH1	6052		Leber congenital amaurosis 11	AD	613837			
IMPDH1	6052		Retinitis pigmentosa 10	AD	180105			
INPP5E	21474		Joubert syndrome 1	AR	213300			
INPP5E	21474		Mental retardation, truncal obesity, retinal dystrophy, and micropenis	AR	610156			
INVS	17870		Nephronophthisis 2, infantile	AR	602088			
IQCB1	28949		Senior-Loken syndrome 5	AR	609254			
KATNIP	29068		Joubert syndrome 26	AR	616784			
KCNJ13	6259		Leber congenital amaurosis 16	AR	614186			
KCNJ13	6259		Snowflake vitreoretinal degeneration	AD	193230			
KIAA0586	19960		Joubert syndrome 23	AR	616490			
KIAA0586	19960		Short-rib thoracic dysplasia 14 with polydactyly	AR	616546			
KIF7	30497		?Al-Gazali-Bakalinova syndrome	AR	607131			
KIF7	30497		?Hydrolethalus syndrome 2	AR	614120			
KIF7	30497		Acrocallosal syndrome	AR	200990			
KIF7	30497		Joubert syndrome 12	AR	200990			
LBR	6518		?Reynolds syndrome	AD	613471			
LBR	6518		Greenberg skeletal dysplasia	AR	215140			
LBR	6518		Pelger-Huet anomaly	AD	169400			
LBR	6518		Pelger-Huet anomaly with mild skeletal anomalies		618019			
LCA5	31923		Leber congenital amaurosis 5	AR	604537			
LRAT	6685		Leber congenital amaurosis 14	AR	613341			
LRAT	6685		Retinal dystrophy, early-onset severe	AR	613341			
LRAT	6685		Retinitis pigmentosa, juvenile	AR	613341			
LZTFL1	6741		Bardet-Biedl syndrome 17	AR	615994			
MAPKBP1	29536		Nephronophthisis 20	AR	617271			
MCIDAS	40050		Ciliary dyskinesia, primary, 42	AR	618695			
MKKS	7108		Bardet-Biedl syndrome 6	AR	605231			
MKKS	7108		McKusick-Kaufman syndrome	AR	236700			
MKS1	7121		Bardet-Biedl syndrome 13	AR	615990			
MKS1	7121		Joubert syndrome 28	AR	617121			
MKS1	7121		Meckel syndrome 1	AR	249000			
MUC1	7508		Tubulointerstitial kidney disease, autosomal dominant, 2	AD	174000			
MYO7A	7606		Deafness, autosomal dominant 11	AD	601317			
MYO7A	7606		Deafness, autosomal recessive 2	AR	600060			
MYO7A	7606		Usher syndrome, type 1B	AR	276900			
NEK1	7744		Short-rib thoracic dysplasia 6 with or without polydactyly	AR/DR	263520			
NEK1	7744		{Amyotrophic lateral sclerosis, susceptibility to, 24}	AD	617892			
NEK8	13387		?Nephronophthisis 9		613824			
NEK8	13387		Renal-hepatic-pancreatic dysplasia 2	AR	615415			
NME8	16473		Ciliary dyskinesia, primary, 6	AR	610852			
NMNAT1	17877		Leber congenital amaurosis 9	AR	608553			
NMNAT1	17877		Spondyloepiphyseal dysplasia, sensorineural hearing loss, intellectual developmental disorder, and Leber congenital amaurosis	AR	619260			
NODAL	7865		Heterotaxy, visceral, 5	AD	270100			
NPHP1	7905		Joubert syndrome 4	AR	609583			
NPHP1	7905		Nephronophthisis 1, juvenile	AR	256100			
NPHP1	7905		Senior-Loken syndrome-1	AR	266900			
NPHP3	7907		Meckel syndrome 7	AR	267010			
NPHP3	7907		Nephronophthisis 3	AR	604387			
NPHP3	7907		Renal-hepatic-pancreatic dysplasia 1	AR	208540			
NPHP4	19104		Nephronophthisis 4	AR	606966			
NPHP4	19104		Senior-Loken syndrome 4	AR	606996			
OFD1	2567		?Retinitis pigmentosa 23	XR	300424			
OFD1	2567		Joubert syndrome 10	XR	300804			
OFD1	2567		Orofaciodigital syndrome I	XD	311200			
OFD1	2567		Simpson-Golabi-Behmel syndrome, type 2	XR	300209			
PCARE	34383		Retinitis pigmentosa 54		613428			
PCDH15	14674		Deafness, autosomal recessive 23	AR	609533			
PCDH15	14674		Usher syndrome, type 1D/F digenic	AR/DR	601067			
PCDH15	14674		Usher syndrome, type 1F	AR	602083			
PDE6D	8788		Joubert syndrome 22	AR	615665			
PKHD1	9016		Polycystic kidney disease 4, with or without hepatic disease	AR	263200			
PRPH2	9942		Choroidal dystrophy, central areolar 2	AD	613105			
PRPH2	9942		Leber congenital amaurosis 18	AD/AR	608133			
PRPH2	9942		Macular dystrophy, patterned, 1	AD	169150			
PRPH2	9942		Macular dystrophy, vitelliform, 3	AD	608161			
PRPH2	9942		Retinitis pigmentosa 7 and digenic form	AD/AR	608133			
PRPH2	9942		Retinitis punctata albescens	AD/AR	136880			
RD3	19689		Leber congenital amaurosis 12	AR	610612			
RDH12	19977		Leber congenital amaurosis 13	AD/AR	612712			
REN	9958		Renal tubular dysgenesis	AR	267430			
REN	9958		Tubulointerstitial kidney disease, autosomal dominant, 4	AD	613092			
REN	9958		[Hyperproreninemia]					
RPE65	10294		Leber congenital amaurosis 2	AR	204100			
RPE65	10294		Retinitis pigmentosa 20	AR	613794			
RPE65	10294		Retinitis pigmentosa 87 with choroidal involvement	AD	618697			
RPGR	10295		Cone-rod dystrophy, X-linked, 1	X	304020			
RPGR	10295		Macular degeneration, X-linked atrophic	XR	300834			
RPGR	10295		Retinitis pigmentosa 3		300029			
RPGR	10295		Retinitis pigmentosa, X-linked, and sinorespiratory infections, with or without deafness		300455			
RPGRIP1	13436		Cone-rod dystrophy 13		608194			
RPGRIP1	13436		Leber congenital amaurosis 6	AR	613826			
RPGRIP1L	29168		?COACH syndrome 3		619113			
RPGRIP1L	29168		Joubert syndrome 7	AR	611560			
RPGRIP1L	29168		Meckel syndrome 5	AR	611561			
RSPH1	12371		Ciliary dyskinesia, primary, 24	AR	615481			
RSPH3	21054		Ciliary dyskinesia, primary, 32	AR	616481			
RSPH4A	21558		Ciliary dyskinesia, primary, 11		612649			
RSPH9	21057		Ciliary dyskinesia, primary, 12		612650			
SBDS	19440		Shwachman-Diamond syndrome	AR	260400			
SBDS	19440		{Aplastic anemia, susceptibility to}		609135			
SCNN1A	10599		?Liddle syndrome 3	AD	618126			
SCNN1A	10599		Bronchiectasis with or without elevated sweat chloride 2	AD	613021			
SCNN1A	10599		Pseudohypoaldosteronism, type I	AR	264350			
SCNN1B	10600		Bronchiectasis with or without elevated sweat chloride 1	AD	211400			
SCNN1B	10600		Liddle syndrome 1	AD	177200			
SCNN1B	10600		Pseudohypoaldosteronism, type I	AR	264350			
SCNN1G	10602		Bronchiectasis with or without elevated sweat chloride 3	AD	613071			
SCNN1G	10602		Liddle syndrome 2	AD	618114			
SCNN1G	10602		Pseudohypoaldosteronism, type I	AR	264350			
SDCCAG8	10671		Bardet-Biedl syndrome 16	AR	615993			
SDCCAG8	10671		Senior-Loken syndrome 7	AR	613615			
SPAG1	11212		Ciliary dyskinesia, primary, 28	AR	615505			
SPATA7	20423		Leber congenital amaurosis 3		604232			
SPATA7	20423		Retinitis pigmentosa, juvenile, autosomal recessive		604232			
TCTN2	25774		?Meckel syndrome 8	AR	613885			
TCTN2	25774		Joubert syndrome 24	AR	616654			
TCTN3	24519		Joubert syndrome 18	AR	614815			
TCTN3	24519		Orofaciodigital syndrome IV	AR	258860			
TMEM138	26944		Joubert syndrome 16	AR	614465			
TMEM216	25018		Joubert syndrome 2	AR	608091			
TMEM216	25018		Meckel syndrome 2	AR	603194			
TMEM231	37234		Joubert syndrome 20	AR	614970			
TMEM231	37234		Meckel syndrome 11	AR	615397			
TMEM237	14432		Joubert syndrome 14	AR	614424			
TMEM67	28396		?RHYNS syndrome	AR	602152			
TMEM67	28396		COACH syndrome 1	AR	216360			
TMEM67	28396		Joubert syndrome 6	AR	610688			
TMEM67	28396		Meckel syndrome 3	AR	607361			
TMEM67	28396		Nephronophthisis 11	AR	613550			
TMEM67	28396		{Bardet-Biedl syndrome 14, modifier of}	AR	615991			
TOPORS	21653		Retinitis pigmentosa 31		609923			
TRIM32	16380		?Bardet-Biedl syndrome 11	AR	615988			
TRIM32	16380		Muscular dystrophy, limb-girdle, autosomal recessive 8	AR	254110			
TTC21B	25660		Nephronophthisis 12	AD/AR	613820			
TTC21B	25660		Short-rib thoracic dysplasia 4 with or without polydactyly	AR	613819			
TTC8	20087		?Retinitis pigmentosa 51	AR	613464			
TTC8	20087		Bardet-Biedl syndrome 8	AR	615985			
TULP1	12423		Leber congenital amaurosis 15	AR	613843			
TULP1	12423		Retinitis pigmentosa 14	AR	600132			
UMOD	12559		Tubulointerstitial kidney disease, autosomal dominant, 1	AD	162000			
USH1C	12597		Deafness, autosomal recessive 18A	AR	602092			
USH1C	12597		Usher syndrome, type 1C	AR	276904			
USH1G	16356		Usher syndrome, type 1G	AR	606943			
USH2A	12601		Retinitis pigmentosa 39		613809			
USH2A	12601		Usher syndrome, type 2A	AR	276901			
WDPCP	28027		?Bardet-Biedl syndrome 15	AR	615992			
WDPCP	28027		Congenital heart defects, hamartomas of tongue, and polysyndactyly	AR	217085			
WDR19	18340		?Cranioectodermal dysplasia 4	AR	614378			
WDR19	18340		?Short-rib thoracic dysplasia 5 with or without polydactyly	AR	614376			
WDR19	18340		Nephronophthisis 13	AR	614377			
WDR19	18340		Senior-Loken syndrome 8	AR	616307			
WDR35	29250		Cranioectodermal dysplasia 2	AR	613610			
WDR35	29250		Short-rib thoracic dysplasia 7 with or without polydactyly	AR	614091			
XPNPEP3	28052		Nephronophthisis-like nephropathy 1	AR	613159			
ZIC3	12874		Congenital heart defects, nonsyndromic, 1, X-linked	XR	306955			
ZIC3	12874		Heterotaxy, visceral, 1, X-linked	XR	306955			
ZIC3	12874		VACTERL association, X-linked	XR	314390			
ZMYND10	19412		Ciliary dyskinesia, primary, 22	AR	615444			
ZNF423	16762		Joubert syndrome 19	AD/AR	614844			
ZNF423	16762		Nephronophthisis 14	AD/AR	614844			
DNAAF11	16725							
DYNC2I1	21862							
DYNC2I2	28296							
ODAD1	26560							
ODAD2	25583							
ODAD3	28303							
TCTN1	26113							
